transaction_id,user_id,city,transaction_date,amount,payment_app,transaction_type,device_type,is_fraud
TXN100062,USER6625,Bangalore,2024-11-08 19:31:56,432.02,Amazon Pay,Recharge,iOS,0
TXN100063,USER9173,Pune,2024-05-21 15:29:26,56.01,PhonePe,Recharge,Web,0
TXN100064,USER6919,Chennai,2024-08-02 14:42:01,1564.59,PhonePe,P2M,Android,0
TXN100065,USER7457,Chennai,2024-02-27 15:44:21,576.03,Google Pay,Recharge,Android,0
TXN100066,USER4854,Hyderabad,2024-02-23 04:15:38,271.78,Paytm,Bill Payment,Web,0
TXN100067,USER4124,Pune,2024-02-29 00:50:51,6719.26,PhonePe,Bill Payment,Web,0
TXN100068,USER5869,Lucknow,2024-12-30 16:12:15,1515.82,BHIM,P2P,iOS,0
TXN100069,USER7966,Kolkata,2024-11-03 04:43:39,2507.69,Google Pay,P2M,Android,0
TXN100070,USER9311,Hyderabad,2024-11-14 22:07:14,1155.97,Amazon Pay,Recharge,Web,0
TXN100071,USER9932,Hyderabad,2024-04-26 01:39:09,3615.54,BHIM,Recharge,iOS,0
TXN100072,USER2664,Delhi,2024-02-27 04:41:36,1168.06,Google Pay,Bill Payment,Web,0
TXN100073,USER6237,Hyderabad,2024-02-17 05:34:16,2158.78,Paytm,Recharge,iOS,0
TXN100074,USER4343,Pune,2024-07-07 14:47:02,2140.7,PhonePe,Bill Payment,Android,0
TXN100075,USER8004,Kolkata,2024-09-03 20:27:46,569.32,Google Pay,P2M,iOS,0
TXN100076,USER8253,Ahmedabad,2024-07-03 17:03:09,192.58,PhonePe,P2P,Android,0
TXN100077,USER3141,Chennai,2024-08-25 21:53:01,2432.48,Google Pay,P2M,Android,0
TXN100078,USER7617,Jaipur,2024-12-06 17:25:52,1249.76,Google Pay,Recharge,Web,0
TXN100079,USER6881,Delhi,2024-01-10 22:06:45,2016.23,Paytm,Recharge,iOS,0
TXN100080,USER8390,Ahmedabad,2024-09-06 02:43:43,3882.7,PhonePe,Bill Payment,Android,0
TXN100081,USER5611,Hyderabad,2024-01-16 14:26:31,5760.94,Google Pay,Bill Payment,Web,0
TXN100082,USER7303,Lucknow,2024-12-05 05:01:11,2261.25,Paytm,Bill Payment,iOS,0
TXN100083,USER5000,Hyderabad,2024-06-27 10:38:24,2108.15,PhonePe,Recharge,Web,0
TXN100084,USER5380,Pune,2024-01-12 10:41:34,947.25,PhonePe,Recharge,Android,0
TXN100085,USER9945,Lucknow,2024-02-04 07:35:50,147.7,BHIM,P2P,iOS,0
TXN100086,USER1417,Delhi,2024-04-24 05:39:18,251.5,BHIM,P2M,Android,0
TXN100087,USER1412,Jaipur,2024-08-04 16:51:32,6857.99,Paytm,P2P,Web,0
TXN100088,USER6988,Bangalore,2024-07-10 23:04:02,1064.16,Paytm,P2P,Android,0
TXN100089,USER3143,Lucknow,2024-05-31 02:02:37,1650.46,Paytm,P2P,Android,0
TXN100090,USER4766,Lucknow,2024-01-13 12:01:26,2809.27,Google Pay,P2P,iOS,0
TXN100091,USER9787,Ahmedabad,2024-08-04 14:01:57,706.6,Google Pay,Recharge,iOS,0
TXN100092,USER1395,Kolkata,2024-08-20 06:47:46,191.45,Amazon Pay,Recharge,Android,0
TXN100093,USER1717,Chennai,2024-08-10 18:01:35,1317.57,Amazon Pay,P2M,iOS,0
TXN100094,USER9335,Jaipur,2024-03-09 03:05:30,478.36,Paytm,P2P,Web,1
TXN100095,USER2167,Pune,2024-02-26 00:17:42,191.27,BHIM,Recharge,iOS,0
TXN100096,USER7541,Pune,2024-08-10 02:35:48,2671.47,Paytm,P2M,iOS,0
TXN100097,USER9010,Lucknow,2024-05-25 20:04:27,2329.7,Amazon Pay,P2P,Android,0
TXN100098,USER8056,Kolkata,2024-09-09 12:17:41,175.71,Google Pay,Bill Payment,Android,0
TXN100099,USER7313,Jaipur,2024-10-09 05:17:45,317.07,Google Pay,Bill Payment,Android,0
TXN100100,USER6541,Chennai,2024-12-04 07:51:35,937.68,Amazon Pay,Recharge,Web,0
TXN100101,USER9691,Delhi,2024-05-24 16:04:14,4765.29,Paytm,P2P,Android,0
TXN100102,USER4141,Hyderabad,2024-09-08 05:31:10,1314.27,Google Pay,Recharge,Android,0
TXN100103,USER5186,Ahmedabad,2024-07-20 15:18:49,801.71,Paytm,P2P,iOS,0
TXN100104,USER5268,Delhi,2024-05-20 02:37:15,1694.8,Google Pay,Recharge,iOS,0
TXN100105,USER9647,Lucknow,2024-11-12 07:04:30,2095.14,PhonePe,Bill Payment,iOS,0
TXN100106,USER1504,Pune,2024-07-09 07:46:56,173.06,BHIM,P2P,iOS,0
TXN100107,USER1133,Delhi,2024-02-27 10:06:35,7624.42,Paytm,Recharge,iOS,0
TXN100108,USER5910,Chennai,2024-05-28 05:42:39,1500.29,Amazon Pay,Bill Payment,Web,1
TXN100109,USER6348,Ahmedabad,2024-06-12 08:25:54,6967.15,Google Pay,Bill Payment,Web,0
TXN100110,USER2256,Chennai,2024-10-31 10:40:13,697.68,PhonePe,Bill Payment,Web,1
TXN100111,USER9053,Ahmedabad,2024-09-15 05:18:07,2671.97,Paytm,P2P,iOS,0
TXN100112,USER2353,Bangalore,2024-08-11 03:03:43,4419.35,Google Pay,Bill Payment,iOS,0
TXN100113,USER1667,Kolkata,2024-01-08 02:35:37,416.81,Google Pay,P2P,iOS,0
TXN100114,USER3745,Mumbai,2024-11-11 08:52:01,618.32,Paytm,Bill Payment,Web,0
TXN100115,USER5835,Pune,2024-07-10 13:13:25,65.7,PhonePe,Recharge,Web,0
TXN100116,USER7132,Hyderabad,2024-07-30 09:52:27,632.05,Paytm,P2P,iOS,0
TXN100117,USER8714,Chennai,2024-09-09 12:37:25,5983.48,Amazon Pay,P2P,Android,0
TXN100118,USER2838,Mumbai,2024-01-10 23:33:11,4185.65,Google Pay,P2M,Android,0
TXN100119,USER6124,Delhi,2024-04-28 00:16:55,944.7,Google Pay,P2P,iOS,0
TXN100120,USER9415,Pune,2024-08-26 17:18:12,2769.22,Amazon Pay,P2P,iOS,0
TXN100121,USER7970,Delhi,2024-10-09 12:55:40,131.24,Amazon Pay,P2M,Android,0
TXN100122,USER9702,Ahmedabad,2024-11-06 08:06:29,2353.46,Google Pay,Recharge,Web,0
TXN100123,USER6989,Mumbai,2024-09-15 14:03:32,1759.67,BHIM,Bill Payment,Web,0
TXN100124,USER5809,Hyderabad,2024-03-23 03:44:16,551.73,Paytm,Bill Payment,Android,0
TXN100125,USER3048,Kolkata,2024-02-20 14:58:52,1863.7,BHIM,Recharge,Web,0
TXN100126,USER5976,Jaipur,2024-10-14 10:03:07,625.79,BHIM,Recharge,Android,0
TXN100127,USER1249,Delhi,2024-06-10 17:11:17,2959.61,PhonePe,Recharge,Android,0
TXN100128,USER5363,Ahmedabad,2024-02-23 20:32:43,1646.23,BHIM,Bill Payment,Android,0
TXN100129,USER7544,Pune,2024-04-21 05:19:58,58.41,Google Pay,P2P,Android,0
TXN100130,USER7996,Delhi,2024-03-06 14:54:42,4669.21,Amazon Pay,P2P,iOS,0
TXN100131,USER7881,Jaipur,2024-10-20 15:23:13,2024.75,BHIM,Recharge,Web,0
TXN100132,USER2331,Delhi,2024-09-05 14:50:13,1198.99,BHIM,P2M,Android,0
TXN100133,USER5637,Kolkata,2024-09-03 14:32:09,3966.28,Google Pay,Bill Payment,Web,0
TXN100134,USER8043,Hyderabad,2024-05-17 15:24:39,3691.48,Amazon Pay,Bill Payment,iOS,0
TXN100135,USER6971,Pune,2024-03-09 20:24:37,1356.98,BHIM,Recharge,Web,0
TXN100136,USER4818,Kolkata,2024-02-12 03:20:15,835.77,Amazon Pay,P2P,iOS,0
TXN100137,USER8830,Mumbai,2024-07-01 22:25:19,329.52,Paytm,Bill Payment,Web,0
TXN100138,USER8687,Kolkata,2024-12-25 11:27:20,4541.95,BHIM,P2M,Web,0
TXN100139,USER5188,Hyderabad,2024-06-08 21:01:37,1842.28,Google Pay,P2P,Android,0
TXN100140,USER8956,Kolkata,2024-01-05 10:11:08,64.64,Paytm,P2M,iOS,0
TXN100141,USER7376,Hyderabad,2024-01-12 05:12:57,4492.74,Google Pay,Recharge,Android,0
TXN100142,USER8240,Kolkata,2024-10-08 02:54:48,1312.26,Paytm,P2P,Android,0
TXN100143,USER7493,Chennai,2024-04-16 05:21:02,947.34,Amazon Pay,Recharge,Web,0
TXN100144,USER2276,Pune,2024-06-28 00:05:02,925.57,PhonePe,P2M,Android,0
TXN100145,USER9150,Pune,2024-03-18 12:17:27,2549.62,BHIM,Bill Payment,iOS,0
TXN100146,USER6126,Jaipur,2024-01-03 05:00:30,3721.46,Paytm,P2M,Web,0
TXN100147,USER2531,Delhi,2024-09-30 09:37:54,555.39,PhonePe,P2P,Android,0
TXN100148,USER9905,Hyderabad,2024-02-08 14:00:48,475.11,PhonePe,P2M,Web,0
TXN100149,USER5632,Kolkata,2024-05-24 00:59:56,1800.8,Amazon Pay,Bill Payment,Web,0
TXN100150,USER9258,Ahmedabad,2024-08-20 07:25:34,1755.1,Google Pay,P2P,Android,0
TXN100151,USER8943,Ahmedabad,2024-08-23 20:04:34,952.12,Paytm,Bill Payment,Android,0
TXN100152,USER3739,Pune,2024-10-08 13:27:27,1691.56,PhonePe,P2M,Android,0
TXN100153,USER1876,Chennai,2024-08-16 07:47:04,541.59,Paytm,Bill Payment,Web,0
TXN100154,USER2733,Bangalore,2024-03-10 19:45:58,1338.12,Paytm,Recharge,Web,0
TXN100155,USER4517,Lucknow,2024-11-13 21:08:45,380.8,BHIM,Bill Payment,Android,0
TXN100156,USER9434,Delhi,2024-01-31 01:12:04,8077.28,Google Pay,Recharge,iOS,0
TXN100157,USER8489,Hyderabad,2024-08-07 07:59:06,4012.49,Google Pay,Recharge,Web,0
TXN100158,USER3551,Delhi,2024-03-02 14:50:41,1627.3,PhonePe,P2M,Web,0
TXN100159,USER7316,Delhi,2024-10-26 01:47:49,6883.67,Paytm,Bill Payment,Android,0
TXN100160,USER9915,Delhi,2024-08-12 12:39:47,555.23,PhonePe,P2M,Android,0
TXN100161,USER7233,Lucknow,2024-05-21 11:48:53,1740.91,Paytm,Bill Payment,iOS,0
TXN100162,USER7988,Kolkata,2024-09-15 05:35:28,921.63,Amazon Pay,P2M,iOS,0
TXN100163,USER1260,Jaipur,2024-05-17 00:36:59,450.62,PhonePe,Bill Payment,iOS,0
TXN100164,USER2619,Bangalore,2024-11-16 00:22:22,2288.28,Paytm,P2M,Android,0
TXN100165,USER2994,Bangalore,2024-02-07 07:23:34,3162.57,Amazon Pay,P2P,Android,0
TXN100166,USER2604,Pune,2024-11-13 03:23:39,6706.35,Paytm,Bill Payment,iOS,0
TXN100167,USER9567,Mumbai,2024-05-16 18:10:41,399.91,PhonePe,Recharge,Android,0
TXN100168,USER6415,Bangalore,2024-11-15 12:12:05,98.58,Amazon Pay,P2M,Web,0
TXN100169,USER7413,Mumbai,2024-11-11 04:18:44,3370.21,PhonePe,P2P,iOS,0
TXN100170,USER8577,Kolkata,2024-03-02 05:43:31,760.17,Google Pay,P2P,iOS,0
TXN100171,USER7943,Bangalore,2024-06-27 20:22:20,717.29,Amazon Pay,P2P,Web,0
TXN100172,USER3190,Kolkata,2024-06-01 18:48:48,4596.68,Amazon Pay,P2M,iOS,0
TXN100173,USER2997,Lucknow,2024-11-04 10:07:35,520.2,Amazon Pay,P2M,iOS,0
TXN100174,USER9389,Pune,2024-05-13 23:05:22,815.65,Amazon Pay,Bill Payment,Android,0
TXN100175,USER6742,Mumbai,2024-06-05 01:30:08,1524.83,PhonePe,Bill Payment,Web,0
TXN100176,USER1419,Lucknow,2024-06-05 02:59:49,2791.91,Google Pay,Recharge,iOS,0
TXN100177,USER1950,Lucknow,2024-10-15 18:49:39,1687.43,PhonePe,P2M,Web,0
TXN100178,USER2865,Kolkata,2024-12-18 12:49:57,3443.62,Google Pay,Bill Payment,Web,0
TXN100179,USER7371,Delhi,2024-12-30 19:58:15,1852.47,Paytm,Bill Payment,Web,0
TXN100180,USER4719,Bangalore,2024-09-17 03:59:42,1051.73,Amazon Pay,Recharge,Android,0
TXN100181,USER1094,Chennai,2024-04-24 11:01:06,1667.16,Google Pay,P2M,Web,0
TXN100182,USER3116,Ahmedabad,2024-05-27 21:37:14,6392.02,BHIM,Recharge,Web,0
TXN100183,USER7166,Kolkata,2024-10-29 21:07:57,1908.77,Amazon Pay,Recharge,iOS,0
TXN100184,USER8783,Hyderabad,2024-07-28 04:49:28,591.47,BHIM,P2P,Web,0
TXN100185,USER4531,Mumbai,2024-12-21 22:27:59,2385.74,BHIM,P2M,Android,0
TXN100186,USER6959,Delhi,2024-05-06 14:32:09,2950.22,Paytm,Recharge,iOS,0
TXN100187,USER7024,Lucknow,2024-02-20 12:18:47,3670.67,BHIM,Bill Payment,Android,0
TXN100188,USER2792,Mumbai,2024-10-28 06:08:36,8378.35,Paytm,P2M,iOS,0
TXN100189,USER4030,Ahmedabad,2024-11-08 14:46:13,1463.1,Paytm,P2M,iOS,0
TXN100190,USER3708,Bangalore,2024-11-04 15:59:05,3247.62,BHIM,P2M,Web,0
TXN100191,USER8970,Delhi,2024-03-03 17:42:11,1541.77,BHIM,P2P,Web,0
TXN100192,USER9577,Bangalore,2024-07-28 02:24:26,2675.02,Paytm,P2P,iOS,0
TXN100193,USER5971,Mumbai,2024-09-07 21:57:06,570.64,Google Pay,P2P,Web,0
TXN100194,USER6299,Kolkata,2024-07-16 05:32:36,4926.59,BHIM,P2M,Android,0
TXN100195,USER5757,Ahmedabad,2024-06-02 02:53:15,478.24,Amazon Pay,Bill Payment,iOS,0
TXN100196,USER5944,Pune,2024-03-24 05:30:16,321.89,PhonePe,P2P,Android,0
TXN100197,USER6182,Hyderabad,2024-07-07 17:27:03,1395.09,Amazon Pay,Recharge,Android,0
TXN100198,USER3482,Hyderabad,2024-07-29 00:34:39,1263.1,PhonePe,Bill Payment,Web,0
TXN100199,USER9477,Lucknow,2024-05-23 05:07:29,696.41,PhonePe,P2P,iOS,0
TXN100200,USER7645,Mumbai,2024-04-22 07:25:37,1374.38,Amazon Pay,P2M,Web,0
TXN100201,USER7016,Ahmedabad,2024-09-20 03:25:42,5841.82,PhonePe,Recharge,iOS,0
TXN100202,USER2481,Ahmedabad,2024-06-10 14:36:43,3226.39,BHIM,Recharge,iOS,0
TXN100203,USER4462,Jaipur,2024-12-14 21:15:34,585.76,Paytm,Bill Payment,Android,0
TXN100204,USER9519,Hyderabad,2024-02-23 08:44:40,3218.04,Google Pay,P2P,Web,0
TXN100205,USER8776,Kolkata,2024-04-01 21:58:31,209.48,PhonePe,Bill Payment,iOS,0
TXN100206,USER3538,Kolkata,2024-06-13 18:25:58,4533.2,BHIM,P2M,Web,0
TXN100207,USER9966,Hyderabad,2024-06-09 00:36:38,3769.44,Google Pay,Recharge,Android,0
TXN100208,USER2308,Jaipur,2024-07-06 02:25:05,4829.81,BHIM,Bill Payment,Android,0
TXN100209,USER4594,Chennai,2024-08-21 04:15:58,955.08,Google Pay,Bill Payment,Web,0
TXN100210,USER5491,Kolkata,2024-01-20 04:03:16,846.83,BHIM,Bill Payment,Web,0
TXN100211,USER8083,Bangalore,2024-12-20 04:56:11,301.91,Google Pay,P2P,Web,0
TXN100212,USER3679,Jaipur,2024-02-28 23:55:43,402.05,PhonePe,P2M,Android,0
TXN100213,USER3573,Mumbai,2024-01-09 09:49:27,2400.27,PhonePe,Bill Payment,Web,0
TXN100214,USER8368,Hyderabad,2024-09-02 04:54:45,3602.77,BHIM,Bill Payment,iOS,1
TXN100215,USER9633,Kolkata,2024-01-29 21:21:48,2350.26,Google Pay,P2M,Web,0
TXN100216,USER7981,Delhi,2024-05-25 17:01:08,3375.39,Amazon Pay,P2M,iOS,0
TXN100217,USER8184,Kolkata,2024-06-13 21:46:51,462.41,Amazon Pay,Bill Payment,Android,0
TXN100218,USER3074,Mumbai,2024-11-08 22:33:02,4141.2,Paytm,P2P,Web,0
TXN100219,USER7136,Jaipur,2024-11-04 20:36:22,1703.32,BHIM,Recharge,Web,0
TXN100220,USER4028,Delhi,2024-07-08 10:06:37,96.21,Paytm,Recharge,Android,0
TXN100221,USER2386,Hyderabad,2024-07-11 05:20:50,189.36,BHIM,P2M,Web,0
TXN100222,USER5124,Hyderabad,2024-05-28 14:43:22,681.3,Google Pay,Bill Payment,Web,0
TXN100223,USER9378,Lucknow,2024-10-21 07:59:29,1010.51,PhonePe,Recharge,Android,0
TXN100224,USER7212,Jaipur,2024-11-07 06:03:12,629.18,BHIM,P2M,iOS,0
TXN100225,USER2762,Ahmedabad,2024-08-31 04:24:10,3746.91,PhonePe,P2P,Web,1
TXN100226,USER7122,Ahmedabad,2024-07-19 09:08:41,1285.81,Google Pay,Recharge,Web,0
TXN100227,USER3343,Jaipur,2024-01-17 15:15:12,1368.34,PhonePe,Recharge,Android,0
TXN100228,USER7185,Lucknow,2024-01-25 03:42:30,157.94,BHIM,P2M,iOS,0
TXN100229,USER5203,Chennai,2024-06-20 20:53:06,635.31,BHIM,Recharge,Web,0
TXN100230,USER3322,Lucknow,2024-04-10 19:20:26,6545.54,Paytm,Recharge,Android,0
TXN100231,USER4640,Chennai,2024-11-06 15:52:14,181.39,Amazon Pay,P2P,Android,0
TXN100232,USER1338,Kolkata,2024-09-20 03:24:14,3285.59,Google Pay,Bill Payment,iOS,0
TXN100233,USER3421,Chennai,2024-07-16 19:40:55,574.48,BHIM,P2M,Web,0
TXN100234,USER4993,Bangalore,2024-12-30 07:45:35,2445.46,PhonePe,Recharge,Android,0
TXN100235,USER6913,Mumbai,2024-03-26 22:51:50,69.07,Google Pay,Recharge,Android,0
TXN100236,USER5232,Bangalore,2024-06-24 20:25:43,7084.94,Amazon Pay,Recharge,Android,0
TXN100237,USER7737,Hyderabad,2024-08-10 15:03:57,112.89,Amazon Pay,Recharge,Android,0
TXN100238,USER2466,Delhi,2024-04-12 20:48:30,907.31,BHIM,P2M,Android,0
TXN100239,USER8980,Mumbai,2024-04-07 22:47:30,2383.36,BHIM,P2P,Web,0
TXN100240,USER5278,Ahmedabad,2024-12-29 11:23:18,757.52,Google Pay,P2P,Web,0
TXN100241,USER6468,Jaipur,2024-07-28 22:01:13,4185.71,Paytm,Recharge,Web,0
TXN100242,USER9930,Pune,2024-06-18 18:21:21,43.0,PhonePe,Recharge,iOS,0
TXN100243,USER4810,Jaipur,2024-02-08 04:32:51,108.24,Google Pay,Recharge,Web,0
TXN100244,USER9436,Jaipur,2024-08-23 03:36:24,1738.61,PhonePe,P2P,Android,0
TXN100245,USER5361,Kolkata,2024-12-24 03:31:16,2635.57,Amazon Pay,Recharge,iOS,0
TXN100246,USER2165,Kolkata,2024-06-06 09:40:01,702.83,Paytm,P2M,Web,0
TXN100247,USER8832,Mumbai,2024-07-11 09:50:00,231.87,PhonePe,P2M,Android,0
TXN100248,USER2828,Jaipur,2024-03-01 12:30:28,187.33,PhonePe,P2M,Web,0
TXN100249,USER8486,Mumbai,2024-10-28 08:15:57,1900.79,PhonePe,Bill Payment,Web,0
TXN100250,USER6690,Lucknow,2024-03-12 15:49:39,3638.17,PhonePe,P2M,iOS,0
TXN100251,USER4564,Kolkata,2024-11-25 11:07:22,388.45,Google Pay,Recharge,iOS,0
TXN100252,USER7402,Delhi,2024-09-18 22:36:52,119.17,Amazon Pay,Bill Payment,iOS,0
TXN100253,USER3736,Kolkata,2024-01-09 21:21:38,1819.0,Google Pay,Recharge,Android,0
TXN100254,USER8657,Pune,2024-06-26 07:03:45,2381.59,Paytm,Bill Payment,iOS,0
TXN100255,USER8906,Hyderabad,2024-09-25 02:01:27,2755.63,Google Pay,Bill Payment,iOS,0
TXN100256,USER5675,Pune,2024-12-22 04:54:34,4198.65,Google Pay,P2M,Android,0
TXN100257,USER2218,Mumbai,2024-08-13 07:12:11,72.13,Amazon Pay,P2M,Web,0
TXN100258,USER1954,Pune,2024-08-13 07:05:59,582.44,PhonePe,P2M,iOS,0
TXN100259,USER6370,Jaipur,2024-06-24 11:37:53,169.04,Paytm,Bill Payment,iOS,0
TXN100260,USER4020,Kolkata,2024-10-10 23:52:36,9529.58,Google Pay,Recharge,Android,0
TXN100261,USER1317,Chennai,2024-12-14 23:21:22,3482.3,Google Pay,P2P,Android,0
TXN100262,USER7183,Ahmedabad,2024-12-12 23:57:11,3193.3,PhonePe,Recharge,Web,0
TXN100263,USER2704,Kolkata,2024-09-25 09:12:10,545.43,Google Pay,Recharge,Web,0
TXN100264,USER5286,Delhi,2024-06-03 00:41:09,419.52,Google Pay,Recharge,iOS,0
TXN100265,USER1556,Chennai,2024-11-09 18:59:04,59.37,PhonePe,Bill Payment,Web,0
TXN100266,USER8561,Chennai,2024-06-08 06:21:30,519.16,Google Pay,Bill Payment,iOS,0
TXN100267,USER3403,Pune,2024-09-14 13:34:05,2826.39,Amazon Pay,P2M,iOS,0
TXN100268,USER6343,Pune,2024-01-13 16:47:41,790.34,PhonePe,P2M,Web,0
TXN100269,USER8009,Kolkata,2024-07-06 10:21:51,1552.99,Google Pay,P2P,Android,0
TXN100270,USER6445,Delhi,2024-03-14 11:43:27,3666.68,Paytm,P2P,Web,0
TXN100271,USER3382,Bangalore,2024-08-09 07:24:20,216.31,Amazon Pay,Bill Payment,iOS,0
TXN100272,USER2887,Ahmedabad,2024-08-29 02:04:51,716.1,BHIM,Recharge,Android,0
